//Racine 	Origine 	Sens 	Exemples de mots comportant la racine

hor(o)-	ὥρα	heure 	horodateur, horoscope
hyal(o)-	ὕαλος	verre, transparent 	hyalin, hyalite, hyaloïde, hyaloplasme
hydr(o)-	ὕδωρ	eau 	hydroélectricité, hydrocéphale, hydromel
hymen(o)-	ὑμήν	membrane 	hymen, hyménoptère, hymenaster
hyper-	ὑπέρ	au-dessus, au-delà 	hyperbole, hypertension, hypermétrope
hypno-	ὕπνος	sommeil 	hypnotisme, hypnose, hypnotique
hypo-	ὑπό	au-dessous 	hypoglycémie, hypothèse, hypostase, hypoténuse
hystér(o)-	ὑστέρα	matrice 	hystérie, hystérectomie, hystéroscopie
-iatr-	ἰατρός	médecin 	pédiatrie, iatrogène, psychiatre
ichtyo-, 	ἰχθύς	poisson 	ichtyologie, ichthyosaure, ichtyogramme, ichtyose
icon(o)-	εἰκών	image 	icône, iconoclaste, iconographie, iconostase
-ïde	εἶδος	forme 	ellipsoïde, ovoïde, sphéroïde, kaléidoscope
idio-	ἴδιος	particulier 	idiotisme, idiome, idiotype, idiosyncrasie
iso-	ἴσος	égal 	isotherme, isocèle, isomérie, isomorphisme, isotope
-kène	χαίνω	ouvrir 	akène
kilo-	χίλιοι	mille 	kilogramme, kilomètre, kilowattheure, kilobyte
kiné-, ciné-	κίνησις	bouger, remuer 	kinésithérapeute, cinématographe, cinétique, kinesthésie
leuc(o)-	λευκός	blanc 	leucémie, leucoderme, leucocyte
lip-	λίπος	graisse 	lipide, lipogenèse, liposuccion
lipo-	λείπω	enlever, laisser 	lipogramme
-lith(o)-	λίθος	pierre 	lithographie, lithosphère, aérolithe, lithothérapie
-log(ie)	λόγος	étude, discours, raison, parole, science 	zoologie, philologie, logique, logorrhée, dialogue
lox(o)-	λοξός	oblique 	loxodromie, loxodon
-lyse	λύω	délier, détacher 	analyse, pyrolyse, dialyse, électrolyse
-machie	μάχη	combat 	naumachie, logomachie, tauromachie
macro-	μακρός	grand, long 	macroéconomie, macrocosme, macrobiotique, macron
-mancie	μαντεία	divination 	chiromancie, cartomancie, nécromancie
-man(i)e	μανία	folie 	maniaque, kleptomanie, toxicomanie, anglomanie
mast(o)-	μαστός	mamelle 	mastodonte, mastologie, mastoïde, mastocytose
mélan-	μέλας	noir 	mélancolie, mélanome, mélanésie
mél(o)-	μέλος	chant 	mélodie, mélodrame, mélomane
méning(o)-	μήνιγξ, -ιγγος	membrane 	méninges, méningite, méningocoque
-mén(o)-	μήν	lunaison 	ménopause, aménorrhée
-mér-	μέρος	partie 	polymère, isomère, méroplancton, méréologie
méta-	μετά	au-delà 	métaphysique, métempsycose, métastase
météor(o)-	μετέωρος	elevé dans les airs 	météore, météorite, météorologie
-métr(o)-	μέτρον	mesure, vers 	mètre, diamètre, géométrie, hexamètre, métronome
mis(o)-	μισέω	haïr 	misanthrope, misogynie, misonéisme
mnémo-, -mnési-	μνήμη, μνήσια	mémoire 	mnémotechnique, amnésie, anamnèse
mono-	μόνος	seul 	monodie, monocoque, monoculture, monopole
-morph(o)-	μορφή	forme 	amorphe, morphogenèse, morphologie, morphème, dimorphisme
-myc(o)-	μύκης	champignon 	mycologie, mycélium, mycose
-myél(o)-	μυελός	moelle 	myéline, myélome, poliomyélite
